,timestamp,date_time,time_diff,date,time,month
111,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
110,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
109,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
113,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
107,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
106,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
105,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
104,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
103,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
102,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
108,2025-03-15 02:55,2025-03-15 02:55:00,0 days 00:00:00,2025-03-15,02:55:00,3
116,2025-03-15 02:56,2025-03-15 02:56:00,0 days 00:01:00,2025-03-15,02:56:00,3
125,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:01:00,2025-03-15,02:57:00,3
124,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
123,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
122,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
118,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
120,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
119,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
117,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
126,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
121,2025-03-15 02:57,2025-03-15 02:57:00,0 days 00:00:00,2025-03-15,02:57:00,3
127,2025-03-15 02:58,2025-03-15 02:58:00,0 days 00:01:00,2025-03-15,02:58:00,3
128,2025-03-15 03:00,2025-03-15 03:00:00,0 days 00:02:00,2025-03-15,03:00:00,3
129,2025-03-15 03:01,2025-03-15 03:01:00,0 days 00:01:00,2025-03-15,03:01:00,3
130,2025-03-15 03:01,2025-03-15 03:01:00,0 days 00:00:00,2025-03-15,03:01:00,3
131,2025-03-15 03:01,2025-03-15 03:01:00,0 days 00:00:00,2025-03-15,03:01:00,3
132,2025-03-15 03:04,2025-03-15 03:04:00,0 days 00:03:00,2025-03-15,03:04:00,3
133,2025-03-15 03:08,2025-03-15 03:08:00,0 days 00:04:00,2025-03-15,03:08:00,3
134,2025-03-15 03:11,2025-03-15 03:11:00,0 days 00:03:00,2025-03-15,03:11:00,3
135,2025-03-15 03:14,2025-03-15 03:14:00,0 days 00:03:00,2025-03-15,03:14:00,3
136,2025-03-15 03:16,2025-03-15 03:16:00,0 days 00:02:00,2025-03-15,03:16:00,3
137,2025-03-15 03:19,2025-03-15 03:19:00,0 days 00:03:00,2025-03-15,03:19:00,3
140,2025-03-15 03:20,2025-03-15 03:20:00,0 days 00:01:00,2025-03-15,03:20:00,3
139,2025-03-15 03:20,2025-03-15 03:20:00,0 days 00:00:00,2025-03-15,03:20:00,3
138,2025-03-15 03:20,2025-03-15 03:20:00,0 days 00:00:00,2025-03-15,03:20:00,3
141,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:01:00,2025-03-15,03:21:00,3
142,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:00:00,2025-03-15,03:21:00,3
143,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:00:00,2025-03-15,03:21:00,3
144,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:00:00,2025-03-15,03:21:00,3
145,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:00:00,2025-03-15,03:21:00,3
146,2025-03-15 03:21,2025-03-15 03:21:00,0 days 00:00:00,2025-03-15,03:21:00,3
155,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:03:00,2025-03-15,03:24:00,3
153,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
152,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
151,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
154,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
149,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
148,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
147,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
150,2025-03-15 03:24,2025-03-15 03:24:00,0 days 00:00:00,2025-03-15,03:24:00,3
176,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:01:00,2025-03-15,03:25:00,3
175,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
174,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
173,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
172,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
171,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
170,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
169,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
168,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
167,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
166,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
164,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
163,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
162,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
161,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
160,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
159,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
158,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
157,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
156,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
165,2025-03-15 03:25,2025-03-15 03:25:00,0 days 00:00:00,2025-03-15,03:25:00,3
183,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:01:00,2025-03-15,03:26:00,3
185,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
184,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
182,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
179,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
180,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
181,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
178,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
177,2025-03-15 03:26,2025-03-15 03:26:00,0 days 00:00:00,2025-03-15,03:26:00,3
